time,y
0,6.58941e-06
1,6.59274e-06
2,3.98152e-06
3,-1.23439e-06
4,-1.44587e-05
5,-1.8439e-05
6,-2.01307e-05
7,-2.21645e-05
8,-2.44737e-05
9,-3.05196e-05
10,-3.48478e-05
11,-3.40555e-05
12,-2.51018e-05
13,-1.78395e-05
14,-3.94237e-06
15,7.77227e-07
16,4.04578e-06
17,1.56085e-05
18,2.70502e-05
19,4.24653e-05
20,7.2702e-05
21,7.83078e-05
22,7.69967e-05
23,7.92085e-05
24,0.000104007
25,0.000127895
26,0.000154238
27,0.000177291
28,0.000158776
29,0.000158764
30,0.000167489
31,0.000191855
32,0.000248237
33,0.000274273
34,0.000289485
35,0.00027953
36,0.000284535
37,0.000308391
38,0.000340546
39,0.000391975
40,0.00040021
41,0.000403216
42,0.000416115
43,0.00042855
44,0.000466115
45,0.000511677
46,0.000533676
47,0.000560817
48,0.00056536
49,0.000580529
50,0.000592051
51,0.000606706
52,0.000623209
53,0.00065713
54,0.000673628
55,0.000702682
56,0.000715346
57,0.000742069
58,0.000756115
59,0.000770555
60,0.000800034
61,0.000829555
62,0.000844061
63,0.000871872
64,0.000885243
65,0.000898458
66,0.000924532
67,0.000937393
68,0.000962667
69,0.000975065
70,0.000987269
71,0.000999261
72,0.00102274
73,0.00104579
74,0.0010572
75,0.00107981
76,0.00109102
77,0.00111308
78,0.00112391
79,0.0011346
80,0.00115563
81,0.00116601
82,0.00118645
83,0.00119653
84,0.00121633
85,0.00122607
86,0.00123572
87,0.00125467
88,0.00126395
89,0.00128211
90,0.00129098
91,0.00129973
92,0.00131695
93,0.00132543
94,0.00134208
95,0.00135024
96,0.00136621
97,0.00137401
98,0.00138169
99,0.00139661
100,0.00140386
101,0.0014181
102,0.00142513
103,0.00143211
104,0.00143904
105,0.00144591
106,0.00145941
107,0.00146602
108,0.00147251
109,0.00147887
110,0.00148509
111,0.00149727
112,0.00150914
113,0.00151497
114,0.00152642
115,0.00153757
116,0.00154303
117,0.00155377
118,0.00155905
119,0.00156426
120,0.0015745
121,0.00157952
122,0.00158943
123,0.00159918
124,0.00160399
125,0.00160876
126,0.00161818
127,0.00162283
128,0.00162745
129,0.00163659
130,0.00164112
131,0.00165514
132,0.00168144
133,0.00169982
134,0.00170509
135,0.00171068
136,0.00171207
137,0.0017134
138,0.00171814
139,0.00172153
140,0.0017297
141,0.00173367
142,0.00174097
143,0.00174422
144,0.00175037
145,0.00175342
146,0.00175972
147,0.00176301
148,0.00176637
149,0.00177309
150,0.00177643
151,0.00178305
152,0.00178634
153,0.00178961
154,0.00179617
155,0.00179945
156,0.00180275
157,0.00180934
158,0.00181264
159,0.00181924
160,0.00182254
161,0.00182914
162,0.00183244
163,0.00183904
164,0.00184234
165,0.00184895
166,0.00185229
167,0.00185903
168,0.00186245
169,0.00186939
170,0.00187292
171,0.00188011
172,0.00188377
173,0.00189118
174,0.00189493
175,0.00189871
176,0.00190637
177,0.00191025
178,0.00191814
179,0.00192214
180,0.00193027
181,0.00193438
182,0.00193854
183,0.00194695
184,0.00195122
185,0.00195986
186,0.00196425
187,0.00196866
188,0.00197759
189,0.00198211
190,0.00199123
191,0.00199584
192,0.00200049
193,0.0020025
194,0.00200438
195,0.00201472
196,0.00203211
197,0.0020422
198,0.00206188
199,0.00207121
200,0.00208007
201,0.00209663
202,0.00210442
203,0.0021193
204,0.00212646
205,0.00213347
206,0.0021471
207,0.00215375
208,0.00216673
209,0.00217309
210,0.00218558
211,0.00219173
212,0.00220384
213,0.00220982
214,0.00222162
215,0.00222745
216,0.00223324
217,0.00224472
218,0.00225041
219,0.00226171
220,0.00226733
221,0.00227293
222,0.00228407
223,0.00228962
224,0.0023007
225,0.00230624
226,0.00231732
227,0.00232285
228,0.00232838
229,0.00233942
230,0.00234494
231,0.00235598
232,0.0023615
233,0.00236703
234,0.00237809
235,0.00238362
236,0.00239471
237,0.00240026
238,0.00240582
239,0.00241695
240,0.00242254
241,0.00242813
242,0.00243934
243,0.00244496
244,0.00245623
245,0.00246187
246,0.00246753
247,0.00247887
248,0.00249025
249,0.00249595
250,0.00250739
251,0.00251312
252,0.00251886
253,0.00253036
254,0.00253612
255,0.00254767
256,0.00255345
257,0.00255923
258,0.00257082
259,0.00257662
260,0.00258824
261,0.00259406
262,0.00259988
263,0.00261154
264,0.00261737
265,0.00262904
266,0.00264071
267,0.00264656
268,0.0026524
269,0.00266408
270,0.00266992
271,0.0026816
272,0.00268744
273,0.00269327
274,0.00270493
275,0.00271075
276,0.00272239
277,0.0027282
278,0.00273981
279,0.00274561
280,0.00275718
281,0.00276296
282,0.0027745
283,0.00278025
284,0.00279174
285,0.00279747
286,0.00280891
287,0.00281461
288,0.0028203
289,0.00283186
290,0.00283756
291,0.00284886
292,0.00286006
293,0.00286563
294,0.00287118
295,0.00288221
296,0.0028877
297,0.00289865
298,0.0029041
299,0.00291495
300,0.00292036
301,0.00293113
302,0.00293649
303,0.00294717
304,0.0029525
305,0.00296309
306,0.00296837
307,0.00297363
308,0.0029841
309,0.00298931
