time,y
0,8.84664e-07
1,1.03625e-06
2,-0.00121654
3,-0.00242604
4,-0.00264132
5,-0.00114525
6,0.000353454
7,0.000354855
8,-0.00028252
9,-0.000726448
10,0.000476232
11,0.0016972
12,0.00437764
13,0.00542014
14,0.00557798
15,0.00347541
16,0.00245674
17,0.00299496
18,0.00751924
19,0.0099823
20,0.00865915
21,0.00424709
22,0.00112007
23,0.0020224
24,0.010467
25,0.0150561
26,0.0164016
27,0.00417578
28,-0.00310085
29,0.00171912
30,0.00656848
31,0.0150594
32,0.0166256
33,0.0156446
34,0.00305316
35,-0.00271451
36,0.00707282
37,0.0141237
38,0.018797
39,0.0125656
40,0.00684093
41,0.00342516
42,0.00596063
43,0.00787621
44,0.012304
45,0.0137068
46,0.0133847
47,0.00746158
48,0.00449232
49,0.0065107
50,0.00771052
51,0.00940645
52,0.0104146
53,0.010535
54,0.01033
55,0.00905514
56,0.00848131
57,0.00889484
58,0.00907213
59,0.00925999
60,0.00943917
61,0.00938387
62,0.0092898
63,0.00888919
64,0.00870821
65,0.00861719
66,0.0084753
67,0.00840446
68,0.00824094
69,0.00815554
70,0.00805093
71,0.0079348
72,0.00776717
73,0.0076798
74,0.00765119
75,0.00759441
76,0.00757424
77,0.00754184
78,0.00737509
79,0.00730744
80,0.00719776
81,0.00715528
82,0.00705069
83,0.00700152
84,0.00696451
85,0.00690902
86,0.00678339
87,0.00676079
88,0.00660007
89,0.0064564
90,0.00638305
91,0.00631744
92,0.00622084
93,0.00617596
94,0.00606574
95,0.00601046
96,0.0058798
97,0.00581489
98,0.00574656
99,0.00558815
100,0.00550998
101,0.00547788
102,0.00538546
103,0.00535402
104,0.00532075
105,0.00528663
106,0.00519182
107,0.00513845
108,0.00506652
109,0.00498763
110,0.00491294
111,0.00480565
112,0.00472011
113,0.00468067
114,0.00459246
115,0.00450175
116,0.00445706
117,0.00438303
118,0.00434835
119,0.00431157
120,0.00423242
121,0.00419378
122,0.00413989
123,0.00413349
124,0.0040647
125,0.00403723
126,0.00398767
127,0.00396281
128,0.00394178
129,0.00393699
130,0.0038824
131,0.00676514
132,0.00838159
133,0.0057195
134,0.0042843
135,0.00255314
136,0.00204638
137,0.00202082
138,0.00240125
139,0.00319721
140,0.00355941
141,0.00353108
142,0.00325969
143,0.00310489
144,0.00299472
145,0.00297672
146,0.00305713
147,0.00310446
148,0.00313638
149,0.00312725
150,0.00311561
151,0.00308465
152,0.00306884
153,0.00306208
154,0.00305516
155,0.00305338
156,0.00305466
157,0.00304772
158,0.00304416
159,0.003037
160,0.0030321
161,0.00302443
162,0.00301941
163,0.0030124
164,0.00300778
165,0.00301359
166,0.00301525
167,0.00304004
168,0.0030558
169,0.00308602
170,0.00310575
171,0.00314209
172,0.00316223
173,0.00318899
174,0.00320335
175,0.00321651
176,0.00324439
177,0.00326274
178,0.00328616
179,0.00331481
180,0.00334205
181,0.00336942
182,0.00338802
183,0.0034188
184,0.00343781
185,0.00346995
186,0.00348867
187,0.00350516
188,0.00353068
189,0.00354645
190,0.00356608
191,0.00358913
192,0.00360702
193,0.00182563
194,0.00213791
195,0.00457036
196,0.00617092
197,0.00665523
198,0.00639072
199,0.00620177
200,0.00592413
201,0.00545884
202,0.00526477
203,0.00498291
204,0.00486635
205,0.00476882
206,0.00462038
207,0.0045497
208,0.00443695
209,0.00438625
210,0.00430515
211,0.00426897
212,0.00420399
213,0.00417417
214,0.00411864
215,0.00409326
216,0.00406964
217,0.00403077
218,0.00401398
219,0.00400157
220,0.00397289
221,0.00396287
222,0.00393943
223,0.00393241
224,0.00392988
225,0.00392023
226,0.00392232
227,0.00391288
228,0.00390942
229,0.00389945
230,0.00389607
231,0.00389063
232,0.00388927
233,0.00388853
234,0.00388446
235,0.00388399
236,0.00388281
237,0.00388318
238,0.00388451
239,0.00388619
240,0.00388885
241,0.00389134
242,0.00389343
243,0.00389615
244,0.00389964
245,0.00390204
246,0.00390468
247,0.00390715
248,0.00391264
249,0.00391642
250,0.00391889
251,0.00392091
252,0.00392294
253,0.00392375
254,0.0039257
255,0.0039291
256,0.00392688
257,0.00392819
258,0.00392745
259,0.00392811
260,0.00392761
261,0.00392814
262,0.00392855
263,0.00392499
264,0.0039244
265,0.00392034
266,0.00391706
267,0.00391648
268,0.00391437
269,0.00390761
270,0.00390554
271,0.00389845
272,0.00389517
273,0.0038918
274,0.00388198
275,0.00387824
276,0.00386843
277,0.0038638
278,0.00385302
279,0.00384794
280,0.0038362
281,0.00383058
282,0.00381773
283,0.00381154
284,0.00379763
285,0.00379091
286,0.00378683
287,0.00376796
288,0.00376079
289,0.00378873
290,0.00376098
291,0.00372315
292,0.0036925
293,0.00367919
294,0.00366465
295,0.00363832
296,0.00362715
297,0.0036063
298,0.00359631
299,0.00357574
300,0.00356559
301,0.00354531
302,0.00353546
303,0.00351562
304,0.00350592
305,0.00349698
306,0.00347477
307,0.00346464
308,0.0034421
309,0.00343124
310,0.00342098
311,0.00339762
312,0.00338691
313,0.00336339
314,0.00335119
315,0.00332749
316,0.00331596
317,0.00329246
318,0.0032807
319,0.0032565
320,0.00323243
321,0.00320867
322,0.00319687
323,0.00317197
324,0.00314739
325,0.00313545
326,0.00312278
327,0.00309635
328,0.00308354
329,0.00305713
330,0.00303095
331,0.00301824
332,0.00299169
333,0.00297887
334,0.00295181
335,0.00293843
336,0.00291107
337,0.00289759
338,0.00287044
339,0.00285695
340,0.00282983
341,0.00281615
342,0.0028029
343,0.00277444
344,0.00274649
345,0.0027325
346,0.00271878
347,0.00270427
348,0.00267495
349,0.00266032
350,0.00263166
351,0.00261699
352,0.00260314
353,0.00257316
354,0.00255826
355,0.00254361
356,0.00251348
357,0.00249841
358,0.00246921
359,0.00244031
360,0.00242622
361,0.00239755
362,0.00238284
363,0.00236888
364,0.00233934
365,0.0023246
366,0.00229563
367,0.00226679
368,0.00223865
369,0.0022108
370,0.00219705
371,0.00216905
372,0.00215475
373,0.00214086
374,0.00212665
375,0.00209818
376,0.00208466
377,0.00207225
378,0.00204856
379,0.00203737
380,0.00201504
381,0.00200401
382,-0.00165829
383,-0.00068343
384,-0.000153928
385,0.000801191
386,0.00113834
387,0.00131038
388,0.00141711
389,0.00145227
390,0.00146662
391,0.00146413
392,0.00146172
393,0.00145639
394,0.00144542
395,0.00144103
396,-0.00218809
397,-0.00118214
398,-6.84439e-05
399,0.000442462
400,0.000719623
401,0.000935829
402,0.00100923
403,0.00106785
404,0.00108732
405,0.00109584
406,0.00109677
407,0.00110352
408,0.00112251
409,0.00114323
410,0.0011536
411,0.00117087
412,0.00117936
413,0.00119338
414,0.00120562
415,0.00121179
416,0.00121995
417,0.00122837
418,0.00123742
419,0.00124206
420,0.00124606
421,0.00124927
422,0.0012557
423,0.00125934
424,0.00126605
425,0.00126944
426,0.001275
427,0.00127762
428,0.00128166
429,0.00128367
430,0.00128581
431,0.00128838
432,0.00129001
433,0.00129232
434,0.00129486
435,0.0012965
436,0.00129737
437,0.00129727
438,0.00129754
439,0.00129675
440,0.00129704
441,0.00129759
442,0.00129743
443,0.00129644
444,0.00129574
445,0.00129496
446,0.00129463
447,0.00129396
448,0.00129124
449,0.00129031
450,0.00128953
451,0.00128676
452,0.00128574
453,0.00128488
454,0.00128133
455,0.00127821
456,0.00127689
457,0.00127547
458,0.00127343
459,0.00127116
460,0.00126576
461,0.00126313
462,0.00126036
463,0.00125399
464,0.00125095
465,0.00124781
466,0.00124037
467,0.00123681
468,0.00122928
469,0.00122551
470,0.00121774
471,0.00121379
472,0.00120984
473,0.00120131
474,0.00119722
475,0.0011887
476,0.00118443
477,0.0011757
478,0.00117131
479,0.001167
480,0.00115779
481,0.00115334
482,0.00114416
483,0.00113958
484,0.00113038
485,0.00112576
486,0.0011212
487,0.00111167
488,0.00110703
489,0.0010975
490,0.00109274
491,0.0010832
492,0.00107845
493,0.001069
494,0.00106427
495,0.00105487
496,0.00105015
497,0.00104066
498,0.00103589
499,0.00102644
500,0.0010217
501,0.00101231
502,0.00100759
503,0.00100299
504,0.000993435
505,0.000988746
506,0.000979293
507,0.000974573
508,0.000965254
509,0.000960562
510,0.000951224
511,0.000946534
512,0.000937328
513,0.0009327
514,0.000928203
515,0.000918875
516,0.00091427
517,0.000905052
518,0.000900445
519,0.000896015
520,0.000886777
521,0.000882198
522,0.000873069
523,0.000868523
524,0.000859674
525,0.000855189
526,0.000846221
527,0.000841696
528,0.000837353
529,0.000828488
530,0.000824084
531,0.000815235
532,0.000810785
533,0.000802096
534,0.000797697
535,0.000789026
536,0.000784638
537,0.000780408
538,0.000771778
539,0.000767473
540,0.000758888
541,0.000754563
542,0.000750404
543,0.000741841
544,0.000737551
545,0.00072907
546,0.000724814
547,0.000716567
548,0.000712363
549,0.000708198
550,0.000699885
551,0.000695651
552,0.000687456
553,0.000683242
554,0.000675003
555,0.00067077
556,0.000666654
557,0.000658464
558,0.000650374
559,0.000646386
560,0.000642484
561,0.000634487
562,0.000630415
563,0.000622447
564,0.000618436
565,0.000614639
566,0.000606751
567,0.000602733
568,0.00059484
569,0.000590869
570,0.000583261
571,0.000579342
572,0.000571571
573,0.000567596
574,0.00056381
575,0.000556222
576,0.000552362
577,0.000544714
578,0.000540812
579,0.000533289
580,0.000529432
581,0.000521943
582,0.0005181
583,0.000514145
584,0.000506983
585,0.000503107
586,0.00242405
587,0.00203871
588,0.00120797
589,0.000827016
590,0.00058199
591,0.000371785
592,0.000304049
593,0.000259118
594,0.000238963
595,0.000231495
596,0.000226516
597,0.000224387
598,0.000222832
599,0.000220888
600,0.000219903
601,0.000218058
602,0.000212166
603,0.000208307
604,0.000201633
605,0.000198003
606,0.000191181
607,0.00018716
608,0.000183386
609,0.000176033
610,0.000171865
611,0.000167786
612,0.000159445
613,0.000154621
614,0.000145549
615,0.000135866
616,0.00013068
617,0.000125766
618,0.000115905
619,0.000105528
620,9.98626e-05
621,0.000105601
622,9.56122e-05
623,7.1453e-05
624,4.93085e-05
625,4.01579e-05
626,3.16989e-05
627,2.92451e-05
628,2.59315e-05
629,1.62444e-05
630,9.95981e-06
631,-1.17188e-06
632,-6.54224e-06
633,-1.20218e-05
634,-2.37287e-05
635,-3.07565e-05
636,-4.24862e-05
637,-4.81508e-05
638,-5.90122e-05
639,-6.48787e-05
640,-7.08253e-05
641,-8.2232e-05
642,-8.8404e-05
643,-0.000100094
644,-0.000106259
645,-0.000117965
646,-0.000124162
647,-0.000135704
648,-0.000147636
649,-0.000153961
650,-0.00016515
651,-0.000171114
652,-0.000182374
653,-0.000188294
654,-0.000199552
655,-0.000205491
656,-0.000216715
657,-0.000222608
658,-0.000228424
659,-0.000239024
660,-0.000250269
661,-0.000256197
662,-0.000262017
663,-0.000272678
664,-0.000278516
665,-0.000289907
666,-0.000295901
667,-0.000301775
668,-0.000312362
669,-0.000318124
670,-0.000329291
671,-0.000335153
672,-0.000346089
673,-0.00035178
674,-0.000357675
675,-0.000368255
676,-0.000374232
677,-0.000385225
678,-0.000391157
679,-0.000402081
680,-0.000407952
681,-0.000418966
682,-0.000424666
683,-0.000435358
684,-0.000440909
685,-0.000451317
686,-0.000456732
687,-0.00046211
688,-0.000471817
689,-0.000482512
690,-0.000493352
691,-0.000498875
692,-0.000507944
693,-0.000512731
694,-0.000517649
695,-0.000526644
696,-0.000531711
697,-0.000536422
698,-0.000545597
699,-0.000555262
700,-0.000560409
701,-0.000565085
702,-0.000573961
703,-0.000578848
704,-0.000587879
705,-0.000592751
706,-0.000601219
707,-0.000605461
708,-0.000612986
709,-0.000616825
710,-0.000620526
711,-0.00062676
712,-0.000630214
713,-0.000636509
714,-0.000639762
715,-0.000642889
716,-0.000648076
717,-0.000651005
718,-0.00065632
719,-0.000659092
720,-0.000663896
721,-0.000666414
722,-0.000668982
723,-0.000672856
724,-0.000675198
725,-0.0228305
726,-0.00577365
727,0.00571451
728,0.00196402
729,-0.00510025
730,-0.0124889
731,-0.00959405
732,-0.00766828
733,-0.0036814
734,-0.00223817
735,-0.00181626
736,-0.00170354
737,-0.00167338
738,-0.00164974
739,-0.0016105
740,-0.00156474
741,-0.00146076
742,-0.00140745
743,-0.00130908
744,-0.00126327
745,-0.00122073
746,-0.00114951
747,-0.00111553
748,-0.00105247
749,-0.00102319
750,-0.000972325
751,-0.000949177
752,-0.000906494
753,-0.00088633
754,-0.000849848
755,-0.000832923
756,-0.0008175
757,-0.000790866
758,-0.000778235
759,-0.000754277
760,-0.000743337
761,-0.000725052
762,-0.000716935
763,-0.000702418
764,-0.00068955
765,-0.000683696
766,-0.000673769
767,-0.000665063
768,-0.000661122
769,-0.000655009
770,-0.000652297
771,-0.000647903
772,-0.000646064
773,-0.000644533
774,-0.00064156
775,-0.000640468
776,-0.00063888
777,-0.000638369
778,-0.000637355
779,-0.000637276
780,-0.000637417
781,-0.000637672
782,-0.000638173
783,-0.000638797
784,-0.000639425
785,-0.000640813
786,-0.000641646
787,-0.000643359
788,-0.000644341
789,-0.000646323
790,-0.000647432
791,-0.000649631
792,-0.00065084
793,-0.000652205
794,-0.000654248
795,-0.000655562
796,-0.000658221
797,-0.000659645
798,-0.000661168
799,-0.000663381
800,-0.000664766
801,-0.000667589
802,-0.00066909
803,-0.000671782
804,-0.000673175
805,-0.000674698
806,-0.000676993
807,-0.000678425
808,-0.000681204
809,-0.00068266
810,-0.000684197
811,-0.000686387
812,-0.000687753
813,-0.000690486
814,-0.000691955
815,-0.000694467
816,-0.000695774
817,-0.000697803
818,-0.000698909
819,-0.000700234
820,-0.000701734
821,-0.000702622
822,-0.00070444
823,-0.000705353
824,-0.000706503
825,-0.000707035
826,-0.000707939
827,-0.000708439
828,-0.000709264
829,-0.000709696
830,-0.000710159
831,-0.000710203
832,-0.00071044
833,-0.000710913
834,-0.000711004
835,-0.000711071
836,-0.000711126
837,-0.000711293
838,-0.000711388
839,-0.000711604
840,-0.000711754
841,-0.000711913
842,-0.000711313
843,-0.000711213
844,-0.000711247
845,-0.000711364
846,-0.000711599
847,-0.000711333
848,-0.000711382
849,-0.000711629
850,-0.00071175
851,-0.000711872
852,-0.000711235
853,-0.000711074
854,-0.000710792
855,-0.000710659
856,-0.000710552
857,-0.000709539
858,-0.00070905
859,-0.000708771
860,-0.000708646
861,-0.000708187
862,-0.000706666
863,-0.000706173
864,-0.000706005
865,-0.000705242
866,-0.000704599
867,-0.000704406
868,-0.000704425
869,-0.000703856
870,-0.000703504
871,-0.000703435
872,-0.000703624
873,-0.000703228
874,-0.000703213
875,-0.0007029
876,-0.000703001
877,-0.000703136
878,-0.000703232
879,-0.000703443
880,-0.000703267
881,-0.000703387
882,-0.00070366
883,-0.000703644
884,-0.000703838
885,-0.000704212
886,-0.000704457
887,-0.000704829
888,-0.000705062
889,-0.00382062
890,-0.00325376
891,-0.00263531
892,-0.00149601
893,-0.0011007
894,-0.000715537
895,-0.000608773
896,-0.000525002
897,-0.000497017
898,-0.000490847
899,-0.000492952
900,-0.000496091
901,-0.000503734
902,-0.000508435
903,-0.00051876
904,-0.000524586
905,-0.000530833
906,-0.000542586
907,-0.000555136
908,-0.000561644
909,-0.000573533
910,-0.000579395
911,-0.000590446
912,-0.000595867
913,-0.000606071
914,-0.000611051
915,-0.000616072
916,-0.000624595
917,-0.000629039
918,-0.000637341
919,-0.000641397
920,-0.000648566
921,-0.000652228
922,-0.00065875
923,-0.000662087
924,-0.000668256
925,-0.000671227
926,-0.000674235
927,-0.000679019
928,-0.000681563
929,-0.000686301
930,-0.000690953
931,-0.000693429
932,-0.000697044
933,-0.000698807
934,-0.000700671
935,-0.000703496
936,-0.000705094
937,-0.000708104
938,-0.000709576
939,-0.000712248
940,-0.000714945
941,-0.00071647
942,-0.000718434
943,-0.000719425
944,-0.000721231
945,-0.000722166
946,-0.000723574
947,-0.000724485
948,-0.000725167
949,-0.000726585
950,-0.000728445
951,-0.000729547
952,-0.000730349
953,-0.00073111
954,-0.000731689
955,-0.000732429
956,-0.000733227
957,-0.000733813
958,-0.000734898
959,-0.000735445
960,-0.000736401
961,-0.000736883
962,-0.000737736
963,-0.000738173
964,-0.000738743
965,-0.000739182
966,-0.000739594
967,-0.000740154
968,-0.000740594
969,-0.000741009
970,-0.000741738
971,-0.000742267
972,-0.000742605
973,-0.000743125
974,-0.000743464
975,-0.000743816
976,-0.000744458
977,-0.000744791
978,-0.000745252
979,-0.000745476
980,-0.000745779
981,-0.000746241
982,-0.000746476
983,-0.000746791
984,-0.00074705
985,-0.000747392
986,-0.000747713
987,-0.000748072
988,-0.000748693
989,-0.000749001
990,-0.000749427
991,-0.00074957
992,-0.000749829
993,-0.00075032
994,-0.000750581
995,-0.000750986
996,-0.000751088
997,-0.000751339
998,-0.000751504
999,-0.000751894
1000,-0.000752163
1001,-0.00075262
1002,-0.00075281
1003,-0.000753078
1004,-0.000753484
1005,-0.00075362
1006,-0.000753867
1007,-0.00075432
1008,-0.000754557
1009,-0.000754953
1010,-0.000755162
1011,-0.000755521
1012,-0.000755716
1013,-0.000756059
1014,-0.000756083
1015,-0.000756286
1016,-0.000756684
1017,-0.000756898
1018,-0.00075726
1019,-0.000757451
1020,-0.00075778
1021,-0.000757959
1022,-0.000758276
1023,-0.000758449
1024,-0.000758773
1025,-0.000758761
1026,-0.000758944
1027,-0.000759292
1028,-0.000759331
1029,-0.000759532
1030,-0.000759623
1031,-0.000759864
1032,-0.000760295
1033,-0.000760509
1034,-0.000760838
1035,-0.000761006
1036,-0.000761286
1037,-0.000761438
1038,-0.000761741
1039,-0.000761685
1040,-0.000761845
1041,-0.000762161
1042,-0.000762333
1043,-0.000762648
1044,-0.000762595
1045,-0.000762751
1046,-0.000762921
1047,-0.000763267
1048,-0.000763443
1049,-0.000763717
1050,-0.000763858
1051,-0.000764145
1052,-0.00076405
1053,-0.000764187
1054,-0.000764167
1055,-0.000764241
1056,-0.00076445
1057,-0.000764821
1058,-0.000764997
1059,-0.000765255
1060,-0.000765382
1061,-0.000765302
1062,-0.000765457
1063,-0.000765472
1064,-0.000765667
1065,-0.00076601
1066,-0.000765992
1067,-0.000766148
1068,-0.000766414
1069,-0.00076655
1070,-0.000766754
1071,-0.000766859
1072,-0.000767029
1073,-0.000767122
1074,-0.000767279
1075,-0.000767367
1076,-0.00076761
1077,-0.00076744
1078,-0.000767799
1079,-0.000768182
1080,-0.000768192
1081,-0.000768209
1082,-0.000768244
1083,-0.0007685
1084,-0.000768841
1085,-0.000768981
1086,-0.000768599
