time,theta
0,3.14023
1,3.14023
2,3.14022
3,3.14021
4,3.14018
5,3.14016
6,3.14014
7,3.14013
8,3.14012
9,3.14012
10,3.1401
11,3.1401
12,3.1401
13,3.1401
14,3.14009
15,3.14008
16,3.14006
17,3.14006
18,3.14007
19,3.14007
20,3.14008
21,3.14005
22,3.13998
23,3.13996
24,3.13994
25,3.13994
26,3.13993
27,3.13985
28,3.13979
29,3.13972
30,3.13971
31,3.13971
32,3.13971
33,3.1397
34,3.1396
35,3.13953
36,3.13946
37,3.13944
38,3.13945
39,3.13945
40,3.13941
41,3.13935
42,3.13927
43,3.13925
44,3.13925
45,3.13926
46,3.13925
47,3.13923
48,3.1392
49,3.1392
50,3.1392
51,3.13921
52,3.13921
53,3.13921
54,3.1392
55,3.13919
56,3.13919
57,3.13919
58,3.13919
59,3.13918
60,3.13918
61,3.13918
62,3.13917
63,3.13917
64,3.13916
65,3.13915
66,3.13915
67,3.13914
68,3.13914
69,3.13913
70,3.13912
71,3.13911
72,3.13911
73,3.1391
74,3.13909
75,3.13908
76,3.13907
77,3.13907
78,3.13907
79,3.13906
80,3.13905
81,3.13905
82,3.13905
83,3.13904
84,3.13904
85,3.13904
86,3.13903
87,3.13903
88,3.13903
89,3.13903
90,3.13903
91,3.13903
92,3.13903
93,3.13903
94,3.13903
95,3.13902
96,3.13902
97,3.13902
98,3.13902
99,3.13902
100,3.13902
101,3.13902
102,3.13902
103,3.13902
104,3.13902
105,3.13902
106,3.13902
107,3.13902
108,3.13902
109,3.13902
110,3.13901
111,3.13901
112,3.13901
113,3.13901
114,3.13901
115,3.13901
116,3.13901
117,3.13901
118,3.13901
119,3.13901
120,3.13901
121,3.13901
122,3.13901
123,3.13901
124,3.13901
125,3.13901
126,3.13901
127,3.13901
128,3.13901
129,3.13901
130,3.13901
131,3.13901
132,3.13901
133,3.13901
134,3.139
135,3.139
136,3.139
137,3.139
138,3.139
139,3.139
140,3.139
141,3.139
142,3.139
143,3.139
144,3.139
145,3.139
146,3.139
147,3.139
148,3.139
149,3.139
150,3.139
151,3.139
152,3.139
153,3.139
154,3.139
155,3.139
156,3.139
157,3.139
