time,theta_dot
0,2.826e-05
1,2.82572e-05
2,-0.00267181
3,-0.00531268
4,-0.00707061
5,-0.0058122
6,-0.00374086
7,-0.00298429
8,-0.00323438
9,-0.00359005
10,-0.00283216
11,-0.00113637
12,-0.000128516
13,0.000191243
14,-0.00204793
15,-0.00394655
16,-0.00253579
17,-0.00103826
18,0.00160246
19,0.00149675
20,0.00103162
21,-0.0114676
22,-0.0151692
23,-0.0117534
24,-0.00345378
25,-0.000316291
26,-0.00777722
27,-0.0233867
28,-0.0300971
29,-0.0129985
30,-0.00608805
31,0.000795396
32,0.00226163
33,-0.00512545
34,-0.0282102
35,-0.0345486
36,-0.0141879
37,-0.00171579
38,0.00243724
39,0.00404318
40,-0.0184354
41,-0.0304044
42,-0.0142454
43,-0.00311193
44,0.000368722
45,0.000244804
46,-0.00118841
47,-0.00725264
48,-0.00484324
49,-0.0021487
50,0.00154321
51,0.0026736
52,0.000403926
53,-0.00171142
54,-0.00242048
55,-0.00174447
56,-0.000857914
57,-0.000762782
58,-0.000627702
59,-0.000785922
60,-0.000974679
61,-0.00110467
62,-0.00118876
63,-0.00133156
64,-0.00173328
65,-0.00208724
66,-0.00224607
67,-0.00257302
68,-0.00267481
69,-0.00279369
70,-0.00281631
71,-0.00267922
72,-0.00258172
73,-0.00250628
74,-0.00247415
75,-0.00246517
76,-0.00227245
77,-0.00214144
78,-0.00200355
79,-0.00171189
80,-0.00158022
81,-0.00142812
82,-0.00135993
83,-0.0011682
84,-0.00105344
85,-0.000933748
86,-0.000679566
87,-0.000582221
88,-0.000441594
89,-0.00034847
90,-0.000314803
91,-0.000263719
92,-0.000289472
93,-0.000343696
94,-0.000313944
95,-0.000264683
96,-0.000244886
97,-0.000207967
98,-0.000193842
99,-0.000200403
100,-0.000203966
101,-0.000205612
102,-0.000191817
103,-0.000189231
104,-0.000191298
105,-0.000215948
106,-0.000203056
107,-0.000195619
108,-0.000183051
109,-0.000178396
110,-0.000177736
111,-0.00017669
112,-0.000164372
113,-0.000158829
114,-0.000160081
115,-0.000160865
116,-0.000160314
117,-0.000151959
118,-0.000148404
119,-0.000145406
120,-0.000144172
121,-0.000143008
122,-0.000141604
123,-0.000138301
124,-0.000136807
125,-0.000135466
126,-0.000134726
127,-0.000133271
128,-0.000132261
129,-0.000131298
130,-0.000130117
131,-0.000128367
132,-0.000126393
133,-0.000125137
134,-0.000124052
135,-0.000123537
136,-0.000123222
137,-0.000123032
138,-0.000123
139,-0.000122884
140,-0.000122535
141,-0.000122687
142,-0.000122445
143,-0.000122008
144,-0.000121761
145,-0.000121467
146,-0.000122145
147,-0.000122051
148,-0.000121696
149,-0.000121701
150,-0.000122833
151,-0.000122742
152,-0.00012156
153,-0.000120297
154,-0.000117955
155,-0.000116552
156,-0.000114635
157,-0.000113538
158,-0.00011231
159,-0.000111529
160,-0.000110849
161,-0.000110308
162,-0.00011006
163,-0.000109714
164,-0.000109819
165,-0.000110944
166,-0.00011177
167,-0.00011103
168,-0.000110267
169,-0.000109511
170,-0.000109171
171,-0.000110599
172,-0.000112128
173,-0.000112667
174,-0.000114285
175,-0.000116236
176,-0.000117343
177,-0.000116947
178,-0.000116227
179,-0.000115667
180,-0.000115683
181,-0.000118073
182,-0.000119132
183,-0.00012155
184,-0.000122366
185,-0.000124558
186,-0.000124419
187,-0.000124432
188,-0.000124482
189,-0.000125971
190,-0.000126572
191,-0.00012875
192,-0.000129638
193,-0.000131742
194,-0.000132493
195,-0.000134073
196,-0.000134587
197,-0.000136749
198,-0.000137105
199,-0.00013813
200,-0.000138374
201,-0.000139922
202,-0.000142493
203,-0.000143961
204,-0.000145443
205,-0.000145827
206,-0.000146708
207,-0.000147102
208,-0.000149195
209,-0.000150165
210,-0.000152667
211,-0.000153671
212,-0.000155689
213,-0.000157233
214,-0.000157831
215,-0.000159684
216,-0.000161287
217,-0.000161956
218,-0.000164134
219,-0.000164987
220,-0.000166987
221,-0.000167775
222,-0.000169588
223,-0.000170309
224,-0.00017208
225,-0.00017281
226,-0.000174657
227,-0.000175431
228,-0.00017631
229,-0.000177334
230,-0.000179232
231,-0.000181508
232,-0.000182761
233,-0.000183936
234,-0.000184298
235,-0.000184623
236,-0.000185362
237,-0.000192782
238,-0.000199401
239,-0.000202266
240,-0.000210131
241,-0.00024013
242,-0.000270263
243,-0.000286321
244,-0.00032184
245,-0.000340309
246,-0.000356043
247,-0.000403087
248,-0.000426663
249,-0.000485402
250,-0.000516088
251,-0.00656936
252,-0.00533216
253,-0.004352
254,-0.00247138
255,-0.00159123
256,-0.00128919
257,-0.00139358
258,-0.00203207
259,-0.00228778
260,-0.00262498
261,-0.0028544
262,-0.00294215
263,-0.00308758
264,-0.00315894
265,-0.00328494
266,-0.00334853
267,-0.00346921
268,-0.00353188
269,-0.00359436
270,-0.00372859
271,-0.00379877
272,-0.00394614
273,-0.00409971
274,-0.00425555
275,-0.00433304
276,-0.00448423
277,-0.00464069
278,-0.00480449
279,-0.00488992
280,-0.00506464
281,-0.00515539
282,-0.00533424
283,-0.00542597
284,-0.00551598
285,-0.00569685
286,-0.00578988
287,-0.00597902
288,-0.00617108
289,-0.00626908
290,-0.00646171
291,-0.00656069
292,-0.00665891
293,-0.00685894
294,-0.00696188
295,-0.00716686
296,-0.00737558
297,-0.0074795
298,-0.00769087
299,-0.00779833
300,-0.00801112
301,-0.00812025
302,-0.00833822
303,-0.00855883
304,-0.00878061
305,-0.00889266
306,-0.009003
307,-0.00922588
308,-0.00934034
309,-0.0095685
310,-0.00968515
311,-0.00980025
312,-0.0100302
313,-0.0101477
314,-0.0103805
315,-0.0104994
316,-0.010734
317,-0.010972
318,-0.0110926
319,-0.0113296
320,-0.0114504
321,-0.01157
322,-0.0119329
323,-0.0121807
324,-0.0123054
325,-0.0125432
326,-0.0126638
327,-0.0129017
