time,y
0,0.0200384
1,0.0200384
2,0.0197327
3,0.0194278
4,0.0193264
5,0.0196965
6,0.0200788
7,0.0201914
8,0.0199438
9,0.0197425
10,0.0200776
11,0.0207693
12,0.0211444
13,0.0212268
14,0.0205429
15,0.0201604
16,0.0207403
17,0.0212661
18,0.0218525
19,0.0217443
20,0.0215256
21,0.0207552
22,0.0206018
23,0.0208929
24,0.021808
25,0.0222064
26,0.0217101
27,0.0205813
28,0.0200565
29,0.0212823
30,0.0218339
31,0.0223246
32,0.0223632
33,0.0219354
34,0.0206842
35,0.0202353
36,0.0212871
37,0.0220158
38,0.0223345
39,0.0223579
40,0.0211552
41,0.0204578
42,0.0211297
43,0.0216901
44,0.0219287
45,0.0218484
46,0.0217092
47,0.0213628
48,0.0214171
49,0.0215168
50,0.0216952
51,0.0217631
52,0.0216691
53,0.0215689
54,0.0214657
55,0.0214575
56,0.0214804
57,0.0214886
58,0.0214881
59,0.0214548
60,0.0214272
61,0.0213666
62,0.02132
63,0.0213023
64,0.0212651
65,0.0212299
66,0.0212102
67,0.0211656
68,0.021152
69,0.0211414
70,0.0211465
71,0.021143
72,0.0211509
73,0.0211217
74,0.0210941
75,0.0210804
76,0.0210679
77,0.0210652
78,0.0210676
79,0.0210551
80,0.0210514
81,0.0210354
82,0.0210328
83,0.0210096
84,0.0210019
85,0.0210003
86,0.0209849
87,0.0209847
88,0.0209649
89,0.0209485
90,0.0209397
91,0.0209221
92,0.0209015
93,0.0208896
94,0.0208765
95,0.0208676
96,0.0208637
97,0.0208538
98,0.0208486
99,0.0208355
100,0.020829
101,0.0208255
102,0.0208024
103,0.0207855
104,0.0207779
105,0.0207761
106,0.0207626
107,0.0207579
108,0.0207477
109,0.0207372
110,0.0207276
111,0.0207231
112,0.0207156
113,0.020712
114,0.020706
115,0.0207006
116,0.0206981
117,0.0206919
118,0.0206887
119,0.0206846
120,0.0206828
121,0.0206809
122,0.0206798
123,0.0206771
124,0.0206755
125,0.0206743
126,0.0206757
127,0.0206702
128,0.0206692
129,0.0206683
130,0.0206676
131,0.0206652
132,0.020663
133,0.0206622
134,0.0206612
135,0.0206606
136,0.0206593
137,0.0206584
138,0.0206564
139,0.0206552
140,0.0206544
141,0.0206521
142,0.0206512
143,0.0206498
144,0.020649
145,0.0206485
146,0.0206464
147,0.0206448
148,0.0206444
149,0.0206437
150,0.0206414
151,0.0206409
152,0.0206417
153,0.0206434
154,0.0206476
155,0.0206503
156,0.0206552
157,0.0206582
158,0.0206631
159,0.020666
160,0.020671
161,0.0206739
162,0.0206791
163,0.0206841
164,0.0206875
165,0.0206935
166,0.0206968
167,0.0207022
168,0.0207056
169,0.0207118
170,0.0207153
171,0.0207204
172,0.0207255
173,0.0207303
174,0.0207338
175,0.0207403
176,0.0207439
177,0.0207499
178,0.0207533
179,0.02076
180,0.0207634
181,0.0207676
182,0.0207715
183,0.0207744
184,0.0207772
185,0.020783
186,0.0207864
187,0.020793
188,0.0207963
189,0.0208009
190,0.0208033
191,0.0208076
192,0.0208101
193,0.0208147
194,0.0208191
195,0.0208224
196,0.0208252
197,0.02083
198,0.0208327
199,0.020837
200,0.0208412
201,0.0208436
202,0.0208478
203,0.0208502
204,0.0208535
205,0.0208555
206,0.0208596
207,0.0208618
208,0.0208651
209,0.0208668
210,0.0208695
211,0.0208712
212,0.0208742
213,0.0208777
214,0.0208799
215,0.0208825
216,0.0208854
217,0.020887
218,0.0208886
219,0.0208895
220,0.0208909
221,0.0208917
222,0.020893
223,0.0208937
224,0.0208949
225,0.0208957
226,0.0208968
227,0.0208973
228,0.020898
229,0.0208997
230,0.0208989
231,0.0208998
232,0.0209003
233,0.0209009
234,0.0209013
235,0.0209019
236,0.0209021
237,0.0209022
238,0.0209025
239,0.0209028
240,0.0209041
241,0.020902
242,0.0209017
243,0.0209015
244,0.0209007
245,0.0209004
246,0.0209017
247,0.0208991
248,0.0208999
249,0.0208965
250,0.0208956
251,0.0201464
252,0.020324
253,0.0204653
254,0.0207354
255,0.0208827
256,0.0209289
257,0.0209429
258,0.0209363
259,0.0209319
260,0.0209209
261,0.0209097
262,0.0209044
263,0.0208933
264,0.0208876
265,0.0208772
266,0.020872
267,0.0208617
268,0.0208565
269,0.0208525
270,0.0208395
271,0.0208349
272,0.0208212
273,0.0208086
274,0.0207959
275,0.0207898
276,0.0207775
277,0.0207651
278,0.0207521
279,0.0207454
