time,y
0,0.119732
1,0.119732
2,0.119733
3,0.119733
4,0.119806
5,0.119963
6,0.120066
7,0.120085
8,0.119947
9,0.119845
10,0.120012
11,0.120339
12,0.120514
13,0.120556
14,0.120259
15,0.120155
16,0.120433
17,0.120689
18,0.120949
19,0.120879
20,0.120749
21,0.1211
22,0.121296
23,0.121242
24,0.121332
25,0.121418
26,0.121571
27,0.12193
28,0.122102
29,0.1217
30,0.121646
31,0.121549
32,0.12148
33,0.121676
34,0.122432
35,0.12263
36,0.121917
37,0.121619
38,0.121575
39,0.121487
40,0.12215
41,0.122532
42,0.121903
43,0.121573
44,0.121516
45,0.12147
46,0.121468
47,0.121641
48,0.121532
49,0.121427
50,0.121312
51,0.121286
52,0.121375
53,0.121449
54,0.121431
55,0.121382
56,0.121346
57,0.121348
58,0.121345
59,0.121337
60,0.121333
61,0.121304
62,0.121281
63,0.121283
64,0.121288
65,0.121293
66,0.121293
67,0.12129
68,0.121291
69,0.121296
70,0.121307
71,0.121301
72,0.121306
73,0.121285
74,0.12127
75,0.121263
76,0.121248
77,0.12124
78,0.121238
79,0.121213
80,0.121204
81,0.121187
82,0.121185
83,0.121158
84,0.121147
85,0.121141
86,0.121115
87,0.121112
88,0.121089
89,0.121074
90,0.121067
91,0.121053
92,0.121043
93,0.121039
94,0.12103
95,0.121023
96,0.12102
97,0.121013
98,0.12101
99,0.121003
100,0.121
101,0.121
102,0.120983
103,0.120972
104,0.120968
105,0.12097
106,0.120961
107,0.120958
108,0.120952
109,0.120946
110,0.120941
111,0.120938
112,0.120934
113,0.120932
114,0.120929
115,0.120927
116,0.120926
117,0.120923
118,0.120921
119,0.12092
120,0.12092
121,0.12092
122,0.12092
123,0.120919
124,0.120919
125,0.120919
126,0.120922
127,0.120919
128,0.120919
129,0.120919
130,0.12092
131,0.12092
132,0.120919
133,0.12092
134,0.120921
135,0.120921
136,0.120922
137,0.120922
138,0.120922
139,0.120922
140,0.120922
141,0.120922
142,0.120923
143,0.120923
144,0.120923
145,0.120924
146,0.120924
147,0.120924
148,0.120925
149,0.120925
150,0.120925
151,0.120926
152,0.120928
153,0.12093
154,0.120934
155,0.120937
156,0.120943
157,0.120946
158,0.120951
159,0.120954
160,0.120959
161,0.120962
162,0.120968
163,0.120973
164,0.120977
165,0.120983
166,0.120987
167,0.120993
168,0.120996
169,0.121002
170,0.121006
171,0.121012
172,0.121018
173,0.121023
174,0.121027
175,0.121034
176,0.121038
177,0.121044
178,0.121048
179,0.121055
180,0.121058
181,0.121064
182,0.121069
183,0.121072
184,0.121076
185,0.121082
186,0.121086
187,0.121093
188,0.121097
189,0.121103
190,0.121106
191,0.121111
192,0.121114
193,0.12112
194,0.121126
195,0.12113
196,0.121133
197,0.121139
198,0.121142
199,0.121148
200,0.121154
201,0.121157
202,0.121163
203,0.121166
204,0.121171
205,0.121174
206,0.121179
207,0.121182
208,0.121187
209,0.12119
210,0.121195
211,0.121197
212,0.121202
213,0.121207
214,0.12121
215,0.121215
216,0.12122
217,0.121222
218,0.121226
219,0.121229
220,0.121232
221,0.121234
222,0.121238
223,0.12124
224,0.121244
225,0.121246
226,0.121249
227,0.121251
228,0.121253
229,0.121257
230,0.121258
231,0.121261
232,0.121263
233,0.121266
234,0.121268
235,0.12127
236,0.121271
237,0.121274
238,0.121278
239,0.12128
240,0.121284
241,0.121286
242,0.12129
243,0.121293
244,0.121297
245,0.1213
246,0.121305
247,0.121308
248,0.121313
249,0.121316
250,0.121319
251,0.121185
252,0.121242
253,0.121284
254,0.121362
255,0.121417
256,0.121433
257,0.121453
258,0.121497
259,0.121515
260,0.121536
261,0.121551
262,0.121556
263,0.121565
264,0.12157
265,0.121578
266,0.121583
267,0.121591
268,0.121596
269,0.121602
270,0.121609
271,0.121616
272,0.121623
273,0.121633
274,0.121644
275,0.121649
276,0.12166
277,0.121671
278,0.121682
279,0.121688
280,0.1217
281,0.121706
282,0.121718
283,0.121725
284,0.121733
285,0.121744
286,0.121751
287,0.121764
288,0.121778
289,0.121785
290,0.1218
291,0.121807
292,0.121814
293,0.121829
294,0.121837
295,0.121852
296,0.121868
297,0.121875
298,0.121891
299,0.121901
300,0.121916
301,0.121924
302,0.121941
303,0.121958
304,0.121976
305,0.121985
306,0.121994
307,0.122011
308,0.12202
309,0.122039
310,0.122048
311,0.122057
312,0.122076
313,0.122085
314,0.122104
315,0.122114
316,0.122133
317,0.122153
318,0.122163
319,0.122183
320,0.122194
321,0.122204
322,0.122234
323,0.122254
324,0.122265
325,0.122286
326,0.122296
327,0.122317
328,0.122338
329,0.122349
330,0.122361
331,0.122381
332,0.122392
333,0.122403
334,0.122425
335,0.122436
336,0.122458
337,0.12248
338,0.122492
339,0.122514
340,0.122525
341,0.122548
342,0.122571
343,0.122583
344,0.122605
345,0.122617
346,0.122628
347,0.122641
348,0.122663
349,0.122686
350,0.122698
351,0.122721
352,0.122733
353,0.122746
354,0.122768
355,0.12278
356,0.122804
357,0.122828
358,0.12284
359,0.122864
360,0.122876
361,0.122899
362,0.122923
363,0.122936
364,0.122948
365,0.122972
366,0.122985
367,0.123009
368,0.123033
369,0.123045
370,0.123071
371,0.123084
372,0.123108
373,0.12312
374,0.123144
375,0.123169
376,0.123181
377,0.123206
378,0.123218
379,0.123242
380,0.123255
381,0.123279
382,0.123292
383,0.123315
384,0.123339
385,0.123363
386,0.123376
387,0.1234
388,0.123412
389,0.123435
390,0.123459
391,0.123471
392,0.123495
393,0.123507
394,0.12353
395,0.123541
396,0.123565
397,0.123576
398,0.123611
399,0.123623
400,0.123646
401,0.123657
402,0.12368
403,0.123692
404,0.123704
405,0.123726
406,0.123738
407,0.123749
408,0.123772
409,0.123784
410,0.123806
411,0.123828
412,0.123839
413,0.123862
414,0.123873
415,0.123884
416,0.123906
417,0.123917
418,0.123939
419,0.12396
420,0.123971
421,0.123982
422,0.124003
423,0.124014
424,0.124034
425,0.124044
426,0.124065
427,0.124086
428,0.124096
429,0.124116
430,0.124126
431,0.124146
432,0.124156
433,0.124166
434,0.124185
435,0.124204
436,0.124213
437,0.124223
438,0.124241
439,0.124251
440,0.124268
441,0.124277
442,0.124295
443,0.124313
444,0.124321
445,0.124338
446,0.124346
447,0.124355
448,0.124397
449,0.124418
450,0.124459
451,0.124487
452,0.124515
453,0.124523
454,0.124536
455,0.124556
456,0.124567
457,0.124579
458,0.124585
